6.5676	0.6768
11.1544	4.9497
12.3235	0.7010
1.1950	0.1567
1.7565	1.1127
1.4508	-0.1083
0.2569	0.0562
6.8150	1.1589
6.8150	1.1589
1.4508	-0.1083
7.3389	2.0840
22.1899	0.3756
22.1899	0.3756
0.2569	0.0562
4.6195	3.2282
6.1055	2.3991
4.5557	1.6389
6.3277	-0.2118
4.4909	-0.3577
5.5870	0.4631
5.5870	0.4631
3.9837	0.2802
3.9837	0.2802
6.3277	-0.2118
7.9035	-0.9108
7.7308	6.2524
5.9963	-0.1210
5.9963	-0.1210
3.3982	0.2239
6.1562	-0.2096
5.0489	4.8482
5.9963	-0.1210
5.9963	-0.1210
9.1317	1.5951
45.1306	16.2012
28.8680	8.3706
28.8680	8.3706
45.1306	16.2012
5.1932	-0.0005
6.4624	0.2101
11.1117	2.2235
4.1386	-0.1629
7.1214	0.2847
6.4031	0.3875
2.9426	0.7880
21.6910	6.6512
10.4349	-0.0481
30.4069	10.1445
7.9035	-0.9108
26.8876	5.0174
13.2076	2.3946
16.0123	-1.9151
13.2053	6.1755
6.8198	1.9180
10.4349	-0.0481
45.1306	16.2012
4.3025	0.1464
9.1099	2.4686
22.4958	-0.5981
2.6299	0.3012
3.7917	0.8293
14.7071	0.1765
16.4224	1.7874
20.3294	0.4548
59.0614	11.8530
3.9797	1.3444
18.5960	8.5603
24.2519	7.6337
7.9899	6.6444
4.6195	3.2282
3.9192	1.9900
3.9192	1.9900
3.9192	1.9900
3.9192	1.9900
8.8463	3.4401
0.0074	0.0017
5.3531	-0.3043
5.3531	-0.3043
25.1611	4.5043
5.3531	-0.3043
12.6240	9.0249
11.0516	3.6679
14.7168	7.1512
8.1969	8.1544
8.1969	8.1544
7.2017	4.1941
7.9144	2.2959
10.2845	0.7841
3.9837	0.2802
2.7283	0.5538
20.4938	-0.2817
5.3832	0.6413
5.3832	0.6413
0.1943	0.0285
24.3511	12.7740
12.0900	7.7109
160.4733	26.0169
24.3511	12.7740
12.0900	7.7109
160.4733	26.0169
